Disease,DOIDId,Symptom,SymptomId,,,Total number of disease
Pneumonia,DOID:552,confusion ,SYMP:0000016,,,
Pneumonia,DOID:552,pain ,SYMP:0000099,,,
Pneumonia,DOID:552,phlegm ,SYMP:0000353,,,
Pneumonia,DOID:552,nausea ,SYMP:0000458,,,
Pneumonia,DOID:552,diarrhea ,SYMP:0000570,,,
Pneumonia,DOID:552,chest pain ,SYMP:0000576,,,
Pneumonia,DOID:552,fever ,SYMP:0000613,,,
Pneumonia,DOID:552,cough ,SYMP:0000614,,,
Pneumonia,DOID:552,vomiting ,SYMP:0019145,,,
Pneumonia,DOID:552,chills ,SYMP:0019174,,,
Pneumonia,DOID:552,fatigue ,SYMP:0019177,,,
Pneumonia,DOID:552,is_a,DOID:850,,,
Polyhydramnios,DOID:8488,is_a,DOID:780,,,
Pleurisy,DOID:10247,pain ,SYMP:0000099,,,
Pleurisy,DOID:10247,pleural effusion ,SYMP:0000107,,,
Pleurisy,DOID:10247,chest pain ,SYMP:0000576,,,
Pleurisy,DOID:10247,fever ,SYMP:0000613,,,
Pleurisy,DOID:10247,cough ,SYMP:0000614,,,
Pleurisy,DOID:10247,is_a,DOID:1532,,,
Placental abruption,DOID:9667,bleeding ,SYMP:0000007,,,
Placental abruption,DOID:9667,pain ,SYMP:0000099,,,
Placental abruption,DOID:9667,abdominal pain ,SYMP:0000457,,,
Placental abruption,DOID:9667,is_a,DOID:780,,,
Plague,DOID:3482,bleeding ,SYMP:0000007,,,
Plague,DOID:3482,pain ,SYMP:0000099,,,
Plague,DOID:3482,seizure ,SYMP:0000124,,,
Plague,DOID:3482,weakness ,SYMP:0000177,,,
Plague,DOID:3482,bubo ,SYMP:0000182,,,
Plague,DOID:3482,tiredness ,SYMP:0000187,,,
Plague,DOID:3482,muscle ache ,SYMP:0000331,,,
Plague,DOID:3482,shock ,SYMP:0000450,,,
Plague,DOID:3482,rash ,SYMP:0000487,,,
Plague,DOID:3482,headache ,SYMP:0000504,,,
Plague,DOID:3482,diarrhea ,SYMP:0000570,,,
Plague,DOID:3482,chest pain ,SYMP:0000576,,,
Plague,DOID:3482,gangrene ,SYMP:0000593,,,
Plague,DOID:3482,fever ,SYMP:0000613,,,
Plague,DOID:3482,cough ,SYMP:0000614,,,
Plague,DOID:3482,low blood pressure ,SYMP:0000692,,,
Plague,DOID:3482,high fever ,SYMP:0000882,,,
Plague,DOID:3482,vomiting ,SYMP:0019145,,,
Plague,DOID:3482,chills ,SYMP:0019174,,,
Plague,DOID:3482,blood pressure ,SYMP:0020063,,,
Plague,DOID:3482,is_a,DOID:0050338,,,
Placenta accreta,DOID:4744,bleeding ,SYMP:0000007,,,
Placenta accreta,DOID:4744,is_a,DOID:780,,,
Polycystic kidney disease,DOID:0080322,pain ,SYMP:0000099,,,
Polycystic kidney disease,DOID:0080322,headache ,SYMP:0000504,,,
Polycystic kidney disease,DOID:0080322,blood pressure ,SYMP:0020063,,,
Polycystic kidney disease,DOID:0080322,high blood pressure ,SYMP:0020064,,,
Polycystic kidney disease,DOID:0080322,is_a,DOID:2975,,,
Pheochromocytoma,DOID:0050771,tremor ,SYMP:0000162,,,
Pheochromocytoma,DOID:0050771,weight loss ,SYMP:0000178,,,
Pheochromocytoma,DOID:0050771,anxiety ,SYMP:0000412,,,
Pheochromocytoma,DOID:0050771,headache ,SYMP:0000504,,,
Pheochromocytoma,DOID:0050771,pallor ,SYMP:0000510,,,
Pheochromocytoma,DOID:0050771,constipation ,SYMP:0019180,,,
Pheochromocytoma,DOID:0050771,blood pressure ,SYMP:0020063,,,
Pheochromocytoma,DOID:0050771,high blood pressure ,SYMP:0020064,,,
Pheochromocytoma,DOID:0050771,is_a,DOID:0060089,,,
Thrombophlebitis,DOID:3875,pain ,SYMP:0000099,,,
Thrombophlebitis,DOID:3875,phlebitis ,SYMP:0000356,,,
Thrombophlebitis,DOID:3875,is_a,DOID:864,,,
Schizotypal personality disorder,DOID:10646,anxiety ,SYMP:0000412,,,
Schizotypal personality disorder,DOID:10646,hallucination ,SYMP:0000607,,,
Schizotypal personality disorder,DOID:10646,is_a,DOID:1510,,,
Schizoid personality disorder,DOID:10936,is_a,DOID:1510,,,
Pityriasis rosea,DOID:8892,itching ,SYMP:0000432,,,
Pityriasis rosea,DOID:8892,rash ,SYMP:0000487,,,
Pityriasis rosea,DOID:8892,headache ,SYMP:0000504,,,
Pityriasis rosea,DOID:8892,fever ,SYMP:0000613,,,
Pityriasis rosea,DOID:8892,fatigue ,SYMP:0019177,,,
Pityriasis rosea,DOID:8892,is_a,DOID:2723,,,
Peritonitis,DOID:8283,confusion ,SYMP:0000016,,,
Peritonitis,DOID:8283,pain ,SYMP:0000099,,,
Peritonitis,DOID:8283,peritonitis ,SYMP:0000102,,,
Peritonitis,DOID:8283,thirst ,SYMP:0000156,,,
Peritonitis,DOID:8283,loss of appetite ,SYMP:0000309,,,
Peritonitis,DOID:8283,bloating ,SYMP:0000420,,,
Peritonitis,DOID:8283,diarrhea ,SYMP:0000570,,,
Peritonitis,DOID:8283,fever ,SYMP:0000613,,,
Peritonitis,DOID:8283,vomiting ,SYMP:0019145,,,
Peritonitis,DOID:8283,is_a,DOID:77,,,
Patellofemoral pain syndrome,DOID:14284,pain ,SYMP:0000099,,,
Patellofemoral pain syndrome,DOID:14284,knee pain ,SYMP:0000442,,,
Patellofemoral pain syndrome,DOID:14284,is_a,DOID:381,,,
Pemphigus,DOID:9182,blister ,SYMP:0000009,,,
Pemphigus,DOID:9182,pain ,SYMP:0000099,,,
Pemphigus,DOID:9182,is_a,DOID:0060039,,,
Pemphigus,DOID:9182,is_a,DOID:8502,,,
Parkinson's disease,DOID:14330,pain ,SYMP:0000099,,,
Parkinson's disease,DOID:14330,tremor ,SYMP:0000162,,,
Parkinson's disease,DOID:14330,bradykinesia ,SYMP:0000673,,,
Parkinson's disease,DOID:14330,is_a,DOID:0050890,,,
Paget's disease of bone,DOID:5408,pain ,SYMP:0000099,,,
Paget's disease of bone,DOID:5408,headache ,SYMP:0000504,,,
Paget's disease of bone,DOID:5408,hip pain ,SYMP:0000632,,,
Paget's disease of bone,DOID:5408,arthritis ,SYMP:0019169,,,
Paget's disease of bone,DOID:5408,bone pain ,SYMP:0020023,,,
Paget's disease of bone,DOID:5408,is_a,DOID:205,,,
Mixed connective tissue disease,DOID:3492,joint pain ,SYMP:0000064,,,
Mixed connective tissue disease,DOID:3492,pain ,SYMP:0000099,,,
Mixed connective tissue disease,DOID:3492,rash ,SYMP:0000487,,,
Mixed connective tissue disease,DOID:3492,fever ,SYMP:0000613,,,
Mixed connective tissue disease,DOID:3492,mild fever ,SYMP:0000881,,,
Mixed connective tissue disease,DOID:3492,arthritis ,SYMP:0019169,,,
Mixed connective tissue disease,DOID:3492,fatigue ,SYMP:0019177,,,
Mixed connective tissue disease,DOID:3492,is_a,DOID:0060032,,,
Mixed connective tissue disease,DOID:3492,is_a,DOID:854,,,
Molluscum contagiosum,DOID:8867,is_a,DOID:934,,,
Multiple sclerosis,DOID:2377,pain ,SYMP:0000099,,,
Multiple sclerosis,DOID:2377,weakness ,SYMP:0000177,,,
Multiple sclerosis,DOID:2377,double vision ,SYMP:0000258,,,
Multiple sclerosis,DOID:2377,loss of vision ,SYMP:0000321,,,
Multiple sclerosis,DOID:2377,slurred speech ,SYMP:0000342,,,
Multiple sclerosis,DOID:2377,vertigo ,SYMP:0000399,,,
Multiple sclerosis,DOID:2377,shock ,SYMP:0000450,,,
Multiple sclerosis,DOID:2377,fatigue ,SYMP:0019177,,,
Multiple sclerosis,DOID:2377,is_a,DOID:0060004,,,
Multiple sclerosis,DOID:2377,is_a,DOID:3213,,,
Mumps,DOID:10264,pain ,SYMP:0000099,,,
Mumps,DOID:10264,tiredness ,SYMP:0000187,,,
Mumps,DOID:10264,muscle ache ,SYMP:0000331,,,
Mumps,DOID:10264,headache ,SYMP:0000504,,,
Mumps,DOID:10264,fever ,SYMP:0000613,,,
Mumps,DOID:10264,is_a,DOID:10854,,,
Mumps,DOID:10264,is_a,DOID:10883,,,
Mitral valve stenosis,DOID:1754,pain ,SYMP:0000099,,,
Mitral valve stenosis,DOID:1754,chest pain ,SYMP:0000576,,,
Mitral valve stenosis,DOID:1754,dizziness ,SYMP:0000610,,,
Mitral valve stenosis,DOID:1754,cough ,SYMP:0000614,,,
Mitral valve stenosis,DOID:1754,fatigue ,SYMP:0019177,,,
Mitral valve stenosis,DOID:1754,chest discomfort ,SYMP:0020031,,,
Mitral valve stenosis,DOID:1754,is_a,DOID:61,,,
Mitral valve disease,DOID:61,fatigue ,SYMP:0019177,,,
Mitral valve disease,DOID:61,is_a,DOID:4079,,,
Myasthenia gravis,DOID:437,asthenia ,SYMP:0000225,,,
Myasthenia gravis,DOID:437,dysarthria ,SYMP:0000414,,,
Myasthenia gravis,DOID:437,dysphagia ,SYMP:0000493,,,
Myasthenia gravis,DOID:437,double vision ,SYMP:0000258,,,
Myasthenia gravis,DOID:437,muscle weakness ,SYMP:0000094,,,
Myasthenia gravis,DOID:437,ptosis ,SYMP:0000369,,,
Myasthenia gravis,DOID:437,weakness ,SYMP:0000177,,,
Myasthenia gravis,DOID:437,is_a,DOID:438,,,
Microcephaly,DOID:10907,is_a,DOID:2490,,,
Migraine with aura,DOID:10024,muscle weakness ,SYMP:0000094,,,
Migraine with aura,DOID:10024,pain ,SYMP:0000099,,,
Migraine with aura,DOID:10024,weakness ,SYMP:0000177,,,
Migraine with aura,DOID:10024,nausea ,SYMP:0000458,,,
Migraine with aura,DOID:10024,headache ,SYMP:0000504,,,
Migraine with aura,DOID:10024,blind spot ,SYMP:0020009,,,
Migraine with aura,DOID:10024,is_a,DOID:6364,,,
Meningioma,DOID:3565,seizure ,SYMP:0000124,,,
Meningioma,DOID:3565,weakness ,SYMP:0000177,,,
Meningioma,DOID:3565,headache ,SYMP:0000504,,,
Meningioma,DOID:3565,memory loss ,SYMP:0000543,,,
Meningioma,DOID:3565,is_a,DOID:3620,,,
Metachromatic leukodystrophy,DOID:10581,blindness ,SYMP:0000008,,,
Metachromatic leukodystrophy,DOID:10581,paralysis ,SYMP:0000030,,,
Metachromatic leukodystrophy,DOID:10581,pain ,SYMP:0000099,,,
Metachromatic leukodystrophy,DOID:10581,seizure ,SYMP:0000124,,,
Metachromatic leukodystrophy,DOID:10581,hallucination ,SYMP:0000607,,,
Metachromatic leukodystrophy,DOID:10581,is_a,DOID:1927,,,
Melanoma,DOID:1909,bleeding ,SYMP:0000007,,,
Melanoma,DOID:1909,inflammation ,SYMP:0000061,,,
Melanoma,DOID:1909,pain ,SYMP:0000099,,,
Melanoma,DOID:1909,itching ,SYMP:0000432,,,
Melanoma,DOID:1909,is_a,DOID:0050687,,,
Muscular dystrophy,DOID:9884,muscle weakness ,SYMP:0000094,,,
Muscular dystrophy,DOID:9884,pain ,SYMP:0000099,,,
Muscular dystrophy,DOID:9884,weakness ,SYMP:0000177,,,
Muscular dystrophy,DOID:9884,muscle pain ,SYMP:0019161,,,
Muscular dystrophy,DOID:9884,is_a,DOID:423,,,
Marfan syndrome,DOID:14323,is_a,DOID:520,,,
Marfan syndrome,DOID:14323,is_a,DOID:5614,,,
Marfan syndrome,DOID:14323,is_a,DOID:65,,,
Meningitis,DOID:9471,confusion ,SYMP:0000016,,,
Meningitis,DOID:9471,seizure ,SYMP:0000124,,,
Meningitis,DOID:9471,severe headache ,SYMP:0000130,,,
Meningitis,DOID:9471,thirst ,SYMP:0000156,,,
Meningitis,DOID:9471,poor feeding ,SYMP:0000355,,,
Meningitis,DOID:9471,stiff neck ,SYMP:0000383,,,
Meningitis,DOID:9471,nausea ,SYMP:0000458,,,
Meningitis,DOID:9471,rash ,SYMP:0000487,,,
Meningitis,DOID:9471,headache ,SYMP:0000504,,,
Meningitis,DOID:9471,fever ,SYMP:0000613,,,
Meningitis,DOID:9471,high fever ,SYMP:0000882,,,
Meningitis,DOID:9471,vomiting ,SYMP:0019145,,,
Meningitis,DOID:9471,meningitis ,SYMP:0019173,,,
Meningitis,DOID:9471,is_a,DOID:331,,,
Meniere's disease,DOID:9849,tinnitus ,SYMP:0000393,,,
Meniere's disease,DOID:9849,vertigo ,SYMP:0000399,,,
Meniere's disease,DOID:9849,nausea ,SYMP:0000458,,,
Meniere's disease,DOID:9849,is_a,DOID:9848,,,
Measles,DOID:8622,inflamed eyes ,SYMP:0000310,,,
Measles,DOID:8622,rash ,SYMP:0000487,,,
Measles,DOID:8622,conjunctivitis ,SYMP:0000128,,,
Measles,DOID:8622,fever ,SYMP:0000613,,,
Measles,DOID:8622,dry cough ,SYMP:0000025,,,
Measles,DOID:8622,cough ,SYMP:0000614,,,
Measles,DOID:8622,is_a,DOID:934,,,
Malignant hyperthermia,DOID:8545,hyperthermia ,SYMP:0000409,,,
Malignant hyperthermia,DOID:8545,is_a,DOID:0050736,,,
Malignant hyperthermia,DOID:8545,is_a,DOID:66,,,
Patent foramen ovale,DOID:13620,is_a,DOID:1882,,,
Malaria,DOID:12365,joint pain ,SYMP:0000064,,,
Malaria,DOID:12365,pain ,SYMP:0000099,,,
Malaria,DOID:12365,abdominal pain ,SYMP:0000457,,,
Malaria,DOID:12365,nausea ,SYMP:0000458,,,
Malaria,DOID:12365,headache ,SYMP:0000504,,,
Malaria,DOID:12365,diarrhea ,SYMP:0000570,,,
Malaria,DOID:12365,fever ,SYMP:0000613,,,
Malaria,DOID:12365,cough ,SYMP:0000614,,,
Malaria,DOID:12365,high fever ,SYMP:0000882,,,
Malaria,DOID:12365,vomiting ,SYMP:0019145,,,
Malaria,DOID:12365,chills ,SYMP:0019174,,,
Malaria,DOID:12365,fatigue ,SYMP:0019177,,,
Malaria,DOID:12365,is_a,DOID:2789,,,
Lymphoma,DOID:0060058,pain ,SYMP:0000099,,,
Lymphoma,DOID:0060058,weight loss ,SYMP:0000178,,,
Lymphoma,DOID:0060058,night sweats ,SYMP:0000337,,,
Lymphoma,DOID:0060058,fever ,SYMP:0000613,,,
Lymphoma,DOID:0060058,fatigue ,SYMP:0019177,,,
Lymphoma,DOID:0060058,is_a,DOID:0060073,,,
Lymphoma,DOID:0060058,is_a,DOID:2531,,,
Lymphedema,DOID:4977,edema ,SYMP:0000538,,,
